,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
1159,Sketches of Frank Gehry,SPC,"$439,309",21,"$17,239",2,5/12/2006
1160,Giuliani Time,Libre,"$21,967",2,"$8,661",1,5/12/2006
1161,Poseidon,WB,"$60,674,817","3,555","$22,155,410","3,555",5/12/2006
1162,Just My Luck,Fox,"$17,326,650","2,543","$5,692,285","2,541",5/12/2006
1163,Art School Confidential,SPC,"$3,297,137",762,"$135,733",12,5/5/2006
1164,Tristram Shandy: A Cock and Bull Story,PicH,"$1,253,413",51,"$60,886",3,1/27/2006
1165,Looking for Comedy in the Muslim World,WIP,"$888,975",161,"$429,223",161,1/20/2006
1166,The Fall of Fujimori,Libre,"$4,630",1,$779,1,5/5/2006
1167,Glory Road,BV,"$42,647,449","2,397","$13,594,734","2,222",1/13/2006
1168,Grandma's Boy,Fox,"$6,090,172","2,016","$3,009,341","2,015",1/6/2006
1169,Fateless,Think,"$196,857",9,"$12,680",1,1/6/2006
1170,Stryker,NW,"$1,723,487",n/a,n/a,n/a,9/2/1983
1171,Match Point,DW,"$23,151,529",512,"$398,593",8,12/28/2005
1172,Rumor Has It,WB,"$43,000,262","2,815","$3,473,155","2,815",12/25/2005
1173,Casanova,BV,"$11,304,403","1,011","$119,276",37,12/25/2005
1174,The Producers,Uni.,"$19,398,532",978,"$154,590",6,12/16/2005
1175,The King of Kong: A Fistful of Quarters,PicH,"$677,914",58,"$51,493",5,8/17/2007
1176,Marebito,Tar.,"$13,983",3,"$3,852",2,12/9/2005
1177,Aeon Flux,Par.,"$25,874,337","2,608","$12,661,112","2,608",12/2/2005
1178,Transamerica,Wein.,"$9,015,303",656,"$46,908",2,12/2/2005
1179,Syriana,WB,"$50,824,620","1,775","$374,502",5,11/23/2005
1180,Rent,SonR,"$29,077,547","2,437","$10,016,021","2,433",11/23/2005
1181,Zizek!,Zeit.,"$20,177",1,"$7,062",1,11/18/2005
1182,Walk the Line,Fox,"$119,519,402","3,160","$22,347,341","2,961",11/18/2005
1183,Sarah Silverman: Jesus is Magic,IDP,"$1,324,339",57,"$124,475",7,11/11/2005
1184,Jarhead,Uni.,"$62,658,220","2,448","$27,726,210","2,411",11/4/2005
1185,Chicken Little,BV,"$135,386,665","3,658","$40,049,778","3,654",11/4/2005
1186,Primeval,BV,"$10,597,734","2,444","$6,048,315","2,444",1/12/2007
1187,Ballets Russes,Zeit.,"$815,848",21,"$12,230",1,10/26/2005
1188,Dreamer: Inspired by a True Story,DW,"$32,751,093","2,735","$9,178,233","2,007",10/21/2005
1189,Shopgirl,BV,"$10,284,523",493,"$229,685",8,10/21/2005
1190,The President's Last Bang,Kino,"$9,724",3,"$1,862",3,10/14/2005
1191,Elizabethtown,Par.,"$26,850,426","2,517","$10,618,711","2,517",10/14/2005
1192,Wallace and Gromit: The Curse of the Were-Rabbit,DW,"$56,110,897","3,656","$16,025,987","3,645",10/5/2005
1193,The Squid and the Whale,IDP,"$7,372,734",151,"$129,844",4,10/5/2005
1194,The Greatest Game Ever Played,BV,"$15,337,393","1,810","$3,657,322","1,014",9/30/2005
1195,Forty Shades of Blue,Vita.,"$75,828",7,"$11,940",3,9/30/2005
1196,Capote,SPC,"$28,750,530","1,239","$324,857",12,9/30/2005
1197,Dear Wendy,Wells,"$23,106",7,"$8,222",7,9/23/2005
1198,Oliver Twist,Sony,"$2,080,321",779,"$68,447",5,9/23/2005
1199,Thumbsucker,SPC,"$1,328,679",330,"$85,327",9,9/16/2005
1200,Everything Is Illuminated,WIP,"$1,712,337",110,"$66,806",6,9/16/2005
1201,Just Like Heaven,DW,"$48,318,130","3,543","$16,408,718","3,508",9/16/2005
1202,The Amazing Spider-Man 3,Sony,n/a,n/a,n/a,n/a,TBD
1203,The Exorcism of Emily Rose,SGem,"$75,072,454","3,045","$30,054,300","2,981",9/9/2005
1204,A Sound of Thunder,WB,"$1,900,451",816,"$917,398",816,9/2/2005
1205,Mind Games,MGM,"$85,085",n/a,n/a,n/a,3/3/1989
1206,Underclassman,Mira.,"$5,655,459","1,132","$2,525,364","1,132",9/2/2005
1207,The Constant Gardener,Focus,"$33,579,797","1,387","$8,673,803","1,346",8/31/2005
1208,Broken Flowers,Focus,"$13,744,960",433,"$780,408",27,8/5/2005
1209,The Dukes of Hazzard,WB,"$80,270,227","3,785","$30,675,314","3,785",8/5/2005
1210,Darwin's Nightmare,ICir,"$203,746",6,"$8,072",1,8/3/2005
1211,Balzac and the Little Chinese Seamstress,Emp.,"$666,327",22,"$16,694",1,7/29/2005
1212,The Aristocrats,Think,"$6,377,461",234,"$243,796",4,7/29/2005
1213,The Edukators,IFC,"$175,493",19,"$10,075",2,7/22/2005
1214,Kong: Skull Island,WB,n/a,n/a,n/a,n/a,3/10/2017
1215,American Hustle,Sony,"$150,117,807","2,629","$740,455",6,12/13/2013
1216,Charlie and the Chocolate Factory,WB,"$206,459,076","3,790","$56,178,450","3,770",7/15/2005
1217,The Beautiful Country,SPC,"$442,813",28,"$25,900",6,7/8/2005
1218,The Fantastic Four 2,Fox,n/a,n/a,n/a,n/a,TBD
1219,War of the Worlds: Goliath,BCMG,"$13,385",18,"$13,385",18,3/7/2014
1220,Lila Says,IDP,"$121,365",6,"$12,599",2,6/24/2005
1221,Only Yesterday (2016 re-release),GK,"$453,243",44,"$14,970",1,1/1/2016
1222,Rize,Lions,"$3,336,391",352,"$1,574,787",352,6/24/2005
1223,My Summer of Love,Focus,"$1,000,915",63,"$90,022",17,6/17/2005
1224,Me and You and Everyone We Know,IFC,"$3,885,134",160,"$30,801",1,6/17/2005
1225,5x2,Think,"$128,752",5,"$15,667",2,6/10/2005
1226,The Honeymooners,Par.,"$12,843,849","1,912","$5,538,835","1,912",6/10/2005
1227,Howl's Moving Castle,BV,"$4,711,096",202,"$427,987",36,6/10/2005
1228,Lords of Dogtown,Sony,"$11,273,517","1,865","$5,623,373","1,865",6/3/2005
1229,Madagascar 4,Fox,n/a,n/a,n/a,n/a,TBD
1230,Star Wars: Episode III - Revenge of the Sith,Fox,"$380,270,577","3,663","$108,435,841","3,661",multiple
1231,Kicking It,LibE,"$13,266",2,"$2,219",1,6/13/2008
1232,Mad Hot Ballroom,ParC,"$8,117,961",202,"$45,348",2,5/13/2005
1233,Mysterious Skin,Tar.,"$713,240",23,"$17,425",1,5/6/2005
1234,House of Wax,WB,"$32,064,800","3,111","$12,077,236","3,111",5/6/2005
1235,Stranded: I Have Come from a Plane That Crashed on the Mountains,Zeit.,"$89,473",7,"$3,077",1,10/22/2008
1236,Funny Ha Ha,GCR,"$77,070",3,"$10,555",2,4/29/2005
1237,Iron Man 3,BV,"$409,013,994","4,253","$174,144,585","4,253",5/3/2013
1238,The Interpreter,Uni.,"$72,708,161","2,814","$22,822,455","2,758",4/22/2005
1239,Night of Henna,Illm.,"$16,027",8,"$2,184",2,3/4/2005
1240,Enron: The Smartest Guys in the Room,Magn.,"$4,071,700",151,"$76,639",3,4/22/2005
1241,Short Cut to Nirvana: Kumbh Mela,Mela,"$381,225",3,"$3,263",1,10/22/2004
1242,House of D,Lions,"$388,532",305,"$36,371",2,4/15/2005
1243,State Property 2,Lions,"$1,691,706",202,"$756,905",202,4/13/2005
1244,Kung Fu Hustle,SPC,"$17,108,591","2,503","$269,225",7,4/8/2005
1245,Command and Control,AEF,n/a,n/a,n/a,n/a,9/14/2016
1246,Beauty Shop,MGM,"$36,351,350","2,659","$12,801,465","2,659",3/30/2005
1247,Guess Who,Sony,"$68,915,888","3,147","$20,671,446","3,147",3/25/2005
1248,Mondovino,Think,"$209,618",8,"$9,840",1,3/23/2005
1249,Melinda and Melinda,FoxS,"$3,826,280",302,"$74,238",1,3/18/2005
1250,Don't Move,N.Arts,"$337,265",6,"$11,075",1,3/11/2005
1251,Robots,Fox,"$128,200,012","3,776","$36,045,301","3,776",3/11/2005
1252,The Upside of Anger,NL,"$18,761,993","1,166","$211,559",9,3/11/2005
1253,The Jacket,WIP,"$6,303,762","1,331","$2,723,682","1,331",3/4/2005
1254,Gunner Palace,Palm,"$607,844",56,"$63,520",8,3/4/2005
1255,Cursed,Dim.,"$19,297,522","2,805","$9,633,085","2,805",2/25/2005
1256,Turtles Can Fly,IFC,"$258,578",16,"$23,326",4,2/18/2005
1257,Constantine's Sword,FRun,"$179,507",6,"$10,131",2,4/18/2008
1258,Masculine Feminine (Re-issue),Rialto,"$200,380",4,"$26,855",2,2/11/2005
1259,Hitchcock/Truffaut,Cohen,"$260,430",23,"$28,178",3,12/2/2015
1260,Lost Embrace,NYer,"$190,860",6,"$18,564",2,1/28/2005
1261,Machuca,Men.,"$26,676",1,"$4,635",1,1/19/2005
1262,Assault on Precinct 13,Rog.,"$20,040,895","2,297","$6,502,724","2,297",1/19/2005
1263,Coach Carter,Par.,"$67,264,877","2,574","$24,182,961","2,524",1/14/2005
1264,William Shakespeare's The Merchant of Venice,SPC,"$3,765,585",107,"$69,868",4,12/29/2004
1265,The Woodsman,NM,"$1,576,231",84,"$53,985",6,12/24/2004
1266,The Phantom of the Opera,WB,"$51,268,815","1,515","$4,001,890",622,12/22/2004
1267,Spanglish,Sony,"$42,726,869","2,587","$8,817,853","2,438",12/17/2004
1268,Million Dollar Baby,WB,"$100,492,203","2,375","$179,953",8,12/15/2004
1269,The Life Aquatic with Steve Zissou,BV,"$24,020,403","1,105","$113,085",2,12/10/2004
1270,Born Into Brothels,Think,"$3,515,061",127,"$14,605",1,12/8/2004
1271,Closer,Sony,"$33,987,757","1,098","$7,707,972",476,12/3/2004
1272,Paper Clips,Slow,"$1,121,744",43,"$25,535",5,11/24/2004
1273,The SpongeBob SquarePants Movie,Par.,"$85,417,988","3,307","$32,018,216","3,212",11/19/2004
1274,The Big Red One,MGM,"$7,206,220",n/a,n/a,n/a,7/18/1980
1275,Kinsey,FoxS,"$10,254,979",588,"$169,038",5,11/12/2004
1276,The Overnight,Orch.,"$1,110,522",307,"$53,022",3,6/19/2015
1277,The Incredibles 2,BV,n/a,n/a,n/a,n/a,6/21/2019
1278,The Birth of a Nation,FoxS,n/a,n/a,n/a,n/a,10/7/2016
1279,About Ray,Wein.,n/a,n/a,n/a,n/a,TBD
1280,Sex is Comedy,IFC,"$40,470",4,"$3,370",1,10/20/2004
1281,The Holy Girl,FL,"$304,124",12,"$28,327",2,4/29/2005
1282,Palindromes,Wells,"$553,368",46,"$57,251",7,4/13/2005
1283,Being Julia,SPC,"$7,739,049",328,"$122,214",9,10/15/2004
1284,Team America: World Police,Par.,"$32,786,074","2,620","$12,120,358","2,539",10/15/2004
1285,House of Flying Daggers,SPC,"$11,050,094","1,189","$397,472",15,12/3/2004
1286,Primer,Think,"$424,760",31,"$28,162",4,10/8/2004
1287,Stage Beauty,Lions,"$782,383",78,"$38,654",3,10/8/2004
1288,Friday Night Lights,Uni.,"$61,255,921","3,004","$20,269,025","2,667",10/8/2004
1289,Tarnation,Wells,"$592,014",22,"$12,740",1,10/6/2004
1290,Going Upriver: The Long War of John Kerry,Think,"$614,138",163,"$279,219",163,10/1/2004
1291,Look at Me,SPC,"$1,737,308",75,"$69,587",6,4/1/2005
1292,Tale of Tales,IFC,"$102,186",15,"$8,871",2,4/22/2016
1293,The Last Shot,BV,"$464,275",40,"$164,801",35,9/24/2004
1294,The Motorcycle Diaries,Focus,"$16,781,387",272,"$159,819",3,9/24/2004
1295,A Dirty Shame,FL,"$1,339,668",133,"$29,384",1,9/17/2004
1296,Zelary,SPC,"$330,033",21,"$29,002",6,9/17/2004
1297,Silver City,NM,"$1,020,656",162,"$337,484",114,9/17/2004
1298,Cellular,NL,"$32,003,620","2,763","$10,100,571","2,749",9/10/2004
1299,Reconstruction,Palm,"$73,516",9,"$13,629",2,9/10/2004
1300,The Last September,Trim.,"$478,053",56,"$85,581",28,4/21/2000
1301,Midnight Special,WB,"$3,712,282",521,"$190,012",5,3/18/2016
1302,Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - From Hollywood to the Heartland,PicH,"$603,894",962,"$464,170",962,2/8/2008
1303,Pariah,Focus,"$769,552",24,"$48,579",4,12/28/2011
1304,East is East,Mira.,"$4,177,818",157,"$53,569",4,4/14/2000
1305,A Cure for Wellness,Fox,n/a,n/a,n/a,n/a,2/17/2017
1306,Bright Young Things,Think,"$933,637",92,"$46,926",3,8/20/2004
1307,Mean Creek,ParC,"$603,951",49,"$29,170",4,8/20/2004
1308,Nicotina,Aren,"$1,117,864",96,"$446,768",96,8/20/2004
1309,We Don't Live Here Anymore,WIP,"$2,041,014",190,"$101,295",7,8/13/2004
1310,Code 46,UA,"$285,585",21,"$20,170",3,8/6/2004
1311,Open Water,Lions,"$30,610,863","2,709","$1,100,943",47,8/6/2004
1312,Gozu,Path.,"$58,202",4,"$5,030",1,7/30/2004
1313,The Manchurian Candidate,Par.,"$65,955,630","2,867","$20,018,620","2,867",7/30/2004
1314,Smurfs: The Lost Village,Sony,n/a,n/a,n/a,n/a,4/7/2017
1315,Los Angeles Plays Itself,B/F,"$6,945",1,"$5,005",1,7/28/2004
1316,Freestyle: The Art of Rhyme,Palm,"$12,600",1,"$4,842",1,7/16/2004
1317,Outfoxed: Rupert Murdoch's War on Journalism,Libre,"$461,572",18,"$77,982",5,8/6/2004
1318,A Home at the End of the World,WIP,"$1,029,872",65,"$64,728",5,7/23/2004
1319,Catwoman,WB,"$40,202,379","3,117","$16,728,411","3,117",7/23/2004
1320,The Door in the Floor,Focus,"$3,854,624",134,"$456,876",47,7/14/2004
1321,Anchorman: The Legend of Ron Burgundy,DW,"$85,288,303","3,104","$28,416,365","3,091",7/9/2004
1322,Metallica: Some Kind of Monster,IFC,"$1,222,708",147,"$46,359",3,7/9/2004
1323,King Arthur (2017),WB,n/a,n/a,n/a,n/a,3/24/2017
1324,Before Sunset,WIP,"$5,820,649",204,"$219,425",20,7/2/2004
1325,The Corporation (Canada),Mon,"$3,493,516",16,"$60,797",7,multiple
1326,The Amazing Spider-Man 2,Sony,"$202,853,933","4,324","$91,608,337","4,324",5/2/2014
1327,Time of the Wolf,Palm,"$61,439",4,"$7,560",2,6/25/2004
1328,"Like Father, Like Son (2014)",IFC,"$334,616",35,"$16,044",2,1/17/2014
1329,Grand Theft Parsons,Swp.,n/a,n/a,n/a,n/a,6/18/2004
1330,The Terminal,DW,"$77,872,883","2,914","$19,053,199","2,811",6/18/2004
1331,I'll Sleep When I'm Dead,ParC,"$360,759",19,"$13,415",2,6/16/2004
1332,Napoleon Dynamite,FoxS,"$44,540,956","1,027","$116,666",6,6/11/2004
1333,The Stepford Wives,Par.,"$59,484,742","3,057","$21,406,781","3,057",6/11/2004
1334,Garfield: The Movie,Fox,"$75,369,589","3,150","$21,727,611","3,094",6/11/2004
1335,Harry Potter and the Prisoner of Azkaban,WB,"$249,541,069","3,855","$93,687,367","3,855",6/4/2004
1336,Saved!,UA,"$8,940,582",592,"$345,136",20,5/28/2004
1337,The Day After Tomorrow,Fox,"$186,740,799","3,444","$68,743,584","3,425",5/28/2004
1338,The Five Obstructions,Koch,"$165,845",3,"$8,940",1,5/26/2004
1339,Celsius 41.11: The Truth Behind the Lies of Fahrenheit 9/11,CitU,"$93,000",116,"$93,000",116,10/22/2004
1340,Shrek 2,DW,"$441,226,247","4,223","$108,037,878","4,163",5/19/2004
1341,A Slipping Down Life,Lions,"$107,099",31,"$9,066",5,5/14/2004
1342,Coffee and Cigarettes,UA,"$2,198,924",47,"$99,162",5,5/14/2004
1343,Troy,WB,"$133,378,256","3,411","$46,865,412","3,411",5/14/2004
1344,New York Minute,WB,"$14,071,441","3,006","$5,962,106","3,006",5/7/2004
1345,Super Size Me,IDP,"$11,536,423",230,"$516,641",41,5/7/2004
1346,Van Helsing,Uni.,"$120,177,084","3,580","$51,748,040","3,575",5/7/2004
1347,Saddest Music in the World,IFC,"$699,225",25,"$37,743",4,4/30/2004
1348,Laws of Attraction,NL,"$17,871,255","2,449","$6,728,905","2,449",4/30/2004
1349,This So-Called Disaster,IFC,"$226,658",3,"$8,435",1,4/21/2004
1350,The Agronomist,Think,"$226,189",21,"$30,855",7,4/23/2004
1351,Man on Fire,Fox,"$77,911,774","2,986","$22,751,490","2,980",4/21/2004
1352,Punisher: War Zone,LGF,"$8,050,977","2,508","$4,271,451","2,508",12/5/2008
1353,The Girl Next Door,Fox,"$14,589,444","2,148","$6,003,806","2,148",4/9/2004
1354,Johnson Family Vacation,FoxS,"$31,203,964","1,326","$9,375,307","1,317",4/7/2004
1355,Against the Ropes,Par.,"$5,884,190","1,601","$3,038,546","1,601",2/20/2004
1356,The United States of Leland,ParC,"$343,847",90,"$48,384",14,4/2/2004
1357,Control Room,Magn.,"$2,589,616",74,"$27,125",1,5/21/2004
1358,Son Frere,Strand,"$22,834",2,"$6,802",1,4/2/2004
1359,Cautiva,L/Z,"$16,259",2,"$2,220",1,11/10/2006
1360,DIG!,Palm,"$127,067",10,"$20,437",2,10/1/2004
1361,Ned Kelly,Focus,"$86,959",22,"$43,704",22,3/26/2004
1362,The Ladykillers,BV,"$39,799,191","1,589","$12,634,563","1,583",3/26/2004
1363,Taking Lives,WB,"$32,682,342","2,705","$11,458,465","2,705",3/19/2004
1364,Meet the Spartans,Fox,"$38,233,676","2,643","$18,505,530","2,605",1/25/2008
1365,Wilbur Wants to Kill Himself,Think,"$235,294",16,"$13,747",2,3/12/2004
1366,Universal Soldier: Day of Reckoning,Magn.,"$5,460",3,"$3,181",3,11/30/2012
1367,James' Journey to Jerusalem,Zeit.,"$64,967",7,"$7,875",1,3/5/2004
1368,We Are Twisted F***ing Sister!,MBox,"$8,277",8,"$5,804",6,2/19/2016
1369,The Passion of the Christ,NM,"$370,782,930","3,408","$83,848,082","3,043",multiple
1370,Crying Ladies,Unit.,"$132,920",10,"$65,664",10,2/20/2004
1371,Clifford's Really Big Movie,WB,"$2,922,354",471,"$662,152",471,4/20/2004
1372,The Big Animal,Mile.,"$3,733",1,"$3,733",1,2/20/2004
1373,After the Life: Trilogy 3,Magn.,"$27,256",3,"$5,198",1,2/13/2004
1374,50 First Dates,Sony,"$120,908,074","3,612","$39,852,237","3,591",2/13/2004
1375,Where in the World Is Osama Bin Laden?,Wein.,"$384,955",102,"$148,698",102,4/18/2008
1376,The Dreamers,FoxS,"$2,532,228",116,"$142,632",5,2/6/2004
1377,The Perfect Score,Par.,"$10,391,003","2,208","$4,873,819","2,208",1/30/2004
1378,On the Run: Trilogy 1,Magn.,"$65,172",4,"$8,653",1,1/30/2004
1379,The Big Bounce,WB,"$6,489,476","2,304","$3,336,374","2,304",1/30/2004
1380,Made-Up,Sis.,"$79,766",5,"$12,443",2,5/30/2003
1381,Empathy,Icar.,"$29,345",1,"$11,975",1,1/21/2004
1382,Crimson Gold,Wells,"$148,959",8,"$13,476",2,1/16/2004
1383,Tokyo Godfathers,IDP,"$129,560",10,"$29,259",8,1/16/2004
1384,Japanese Story,IDP,"$647,054",21,"$23,962",5,12/31/2003
1385,My Baby's Daddy,Mira.,"$17,669,317","1,448","$7,548,819","1,447",1/9/2004
1386,Cold Mountain,Mira.,"$95,636,509","2,802","$14,574,213","2,163",12/25/2003
1387,Peter Pan,Uni.,"$48,462,608","2,813","$11,139,495","2,813",12/25/2003
1388,House of Sand and Fog,DW,"$13,040,288",598,"$45,572",2,12/19/2003
1389,The Hebrew Hammer,Strand,"$82,157",8,"$19,539",8,12/19/2003
1390,Something's Gotta Give,Sony,"$124,728,738","2,876","$16,064,723","2,677",12/12/2003
1391,Big Fish,Sony,"$66,809,693","2,514","$207,377",6,12/10/2003
1392,American Honey,A24,n/a,n/a,n/a,n/a,9/30/2016
1393,The Triplets of Belleville,SPC,"$7,007,149",463,"$108,080",6,11/26/2003
1394,Going Attractions: The Definitive Story of the American Drive-in Movie,DID,"$52,458",4,n/a,n/a,6/7/2013
1395,The Cooler,Lions,"$8,291,572",408,"$128,973",11,11/26/2003
1396,Gothika,WB,"$59,694,580","2,382","$19,288,438","2,382",11/21/2003
1397,I Vitelloni,Kino,"$116,428",3,"$14,790",1,11/14/2003
1398,Tupac: Resurrection,Par.,"$7,718,961",804,"$4,632,847",801,11/14/2003
1399,Master and Commander: The Far Side of the World,Fox,"$93,927,920","3,101","$25,105,990","3,101",11/14/2003
1400,Elf,NL,"$173,398,518","3,381","$31,113,501","3,337",11/7/2003
1401,Love Actually,Uni.,"$59,696,144","1,714","$6,886,080",576,11/7/2003
1402,The Matrix Revolutions,WB,"$139,313,948","3,502","$48,475,154","3,502",11/5/2003
1403,Shattered Glass,Lions,"$2,220,008",215,"$77,540",8,10/31/2003
1404,The Human Stain,Mira.,"$5,381,908",388,"$1,034,195",160,10/31/2003
1405,The Singing Detective,ParC,"$337,174",46,"$28,324",5,10/24/2003
1406,A Girl Cut in Two,IFC,"$409,658",21,"$18,658",2,8/15/2008
1407,Sylvia,Focus,"$1,315,498",109,"$58,940",3,10/17/2003
1408,Veronica Guerin,BV,"$1,571,504",472,"$611,276",472,10/17/2003
1409,Civil Brand,Lions,"$254,293",35,"$99,296",35,8/29/2003
1410,Young Adam,SPC,"$767,373",41,"$50,278",9,4/16/2004
1411,Mystic River,WB,"$90,135,191","1,581","$640,815",13,10/8/2003
1412,Alice in Wonderland (2010),BV,"$334,191,110","3,739","$116,101,023","3,728",3/5/2010
1413,My Life Without Me,SPC,"$400,948",39,"$40,515",7,9/26/2003
1414,Duplex,Mira.,"$9,692,135","2,191","$4,617,128","2,189",9/26/2003
1415,In This World,Sun.,"$84,299",10,"$24,602",10,9/19/2003
1416,Anything Else,DW,"$3,212,310","1,033","$1,673,125","1,033",9/19/2003
1417,The Fighting Temptations,Par.,"$30,250,745","2,026","$11,758,372","2,026",9/19/2003
1418,Once Upon a Time in Mexico,Sony,"$56,359,780","3,289","$23,424,118","3,282",9/12/2003
1419,Matchstick Men,WB,"$36,906,460","2,711","$13,087,307","2,711",9/12/2003
1420,Carnage (2011),SPC,"$2,547,047",494,"$79,795",5,12/16/2011
1421,Carnage (2011),SPC,"$2,547,047",494,"$79,795",5,12/16/2011
1422,Open Range,BV,"$58,331,254","2,268","$14,047,781","2,075",8/15/2003
1423,Le Divorce,FoxS,"$9,081,057",701,"$516,834",34,8/8/2003
1424,Freaky Friday,BV,"$110,230,332","3,067","$22,203,007","2,954",8/6/2003
1425,And Now Ladies and Gentlemen,ParC,"$736,872",48,"$49,176",6,8/1/2003
1426,Gigli,SonR,"$6,087,542","2,215","$3,753,518","2,215",8/1/2003
1427,Buffalo Soldiers,Mira.,"$354,421",24,"$30,977",6,7/25/2003
1428,Seabiscuit,Uni.,"$120,277,854","2,573","$20,854,735","1,989",7/25/2003
1429,Masked and Anonymous,SPC,"$533,569",23,"$30,783",4,7/24/2003
1430,How to Deal,NL,"$14,195,227","2,319","$5,809,960","2,319",7/18/2003
1431,Johnny English Reborn,Uni.,"$8,305,970","1,554","$3,833,300","1,552",10/21/2011
1432,Bad Boys II,Sony,"$138,608,444","3,202","$46,522,560","3,186",7/18/2003
1433,I Capture the Castle,IDP,"$1,179,035",42,"$51,970",8,7/11/2003
1434,Northfork,ParC,"$1,420,578",71,"$61,481",5,7/11/2003
1435,Swimming Pool,Focus,"$10,130,108",259,"$287,296",13,7/2/2003
1436,Terminator 3: Rise of the Machines,WB,"$150,371,112","3,504","$44,041,440","3,504",7/2/2003
1437,28 Days Later,FoxS,"$45,064,915","1,407","$10,061,858","1,260",multiple
1438,The Legend of Suriyothai,SPC,"$454,736",22,"$45,904",7,6/20/2003
1439,The Incredible Hulk,Uni.,"$134,806,913","3,508","$55,414,050","3,505",6/13/2008
1440,Manito,FM,"$11,000",5,"$11,000",5,6/13/2003
1441,Hollywood Homicide,SonR,"$30,940,691","2,840","$11,112,632","2,840",6/13/2003
1442,2 Fast 2 Furious,Uni.,"$127,154,901","3,418","$50,472,480","3,408",6/6/2003
1443,The In-Laws,WB,"$20,453,431","2,652","$7,319,848","2,652",5/23/2003
1444,Popstar: Never Stop Never Stopping,Uni.,"$9,496,130","2,313","$4,698,715","2,311",6/3/2016
1445,The Man Who Wasn't There,USA,"$7,504,257",259,"$664,404",39,11/2/2001
1446,L'Auberge Espagnole (Canada),Chris.,"$3,897,799",23,"$57,692",11,multiple
1447,The Shape of Things,Focus,"$735,992",60,"$173,246",40,5/9/2003
1448,Down with Love,Fox,"$20,305,251","2,123","$45,029",1,5/9/2003
1449,X2: X-Men United,Fox,"$214,949,694","3,749","$85,558,731","3,741",5/2/2003
1450,Spellbound (2003),Think,"$5,728,581",117,"$17,508",1,4/30/2003
1451,A Borrowed Identity,Strand,"$281,540",22,"$10,308",1,6/26/2015
1452,Confidence,Lions,"$12,251,640","1,871","$4,563,588","1,871",4/25/2003
1453,Holes,BV,"$67,406,573","2,452","$16,300,155","2,331",4/18/2003
1454,A Mighty Wind,WB,"$17,781,006",770,"$2,112,140",133,4/16/2003
1455,Bulletproof Monk,MGM,"$23,358,708","2,955","$8,653,542","2,955",4/16/2003
1456,Abouna,Leis.,"$3,290",1,"$2,350",1,2/20/2004
1457,Levity,SPC,"$209,695",17,"$30,599",10,4/4/2003
1458,Used Guys,Fox,n/a,n/a,n/a,n/a,TBD
1459,Fellini: I'm a Born Liar,First,"$106,686",5,"$8,981",1,4/2/2003
1460,Head of State,DW,"$38,125,247","2,256","$13,503,484","2,151",3/28/2003
1461,Gaudi Afternoon,Cn4,"$5,858",1,"$3,838",1,3/21/2003
1462,Dreamcatcher,WB,"$33,715,436","2,945","$15,027,423","2,945",3/21/2003
1463,The Girl from Paris,FPh,"$183,266",5,"$8,280",1,3/21/2003
1464,Japon,Vita.,"$21,900",1,"$3,562",1,3/19/2003
1465,Bend It Like Beckham,FoxS,"$32,543,449","1,002","$161,528",6,3/12/2003
1466,Tears of the Sun,SonR,"$43,734,876","2,973","$17,057,213","2,973",3/7/2003
1467,The Safety of Objects,IFC,"$319,299",43,"$86,250",32,3/7/2003
1468,Dischord,AL,"$2,199",2,"$2,199",2,2/28/2003
1469,Poolhall Junkies,GldC,"$563,711",179,"$301,856",179,2/28/2003
1470,Dark Blue,UA,"$9,250,301","2,176","$3,880,688","2,176",2/21/2003
1471,Lawless Heart,First,"$330,067",18,"$15,544",1,2/21/2003
1472,All the Real Girls,SPC,"$549,666",25,"$39,417",6,2/14/2003
1473,How to Lose a Guy in 10 Days,Par.,"$105,813,373","2,923","$23,774,850","2,923",2/7/2003
1474,Zus & Zo,Life,"$49,468",4,"$6,700",2,2/7/2003
1475,Final Destination 2,NL,"$46,961,214","2,834","$16,017,141","2,834",1/31/2003
1476,Jack Ryan: Shadow Recruit,Par.,"$50,577,412","3,387","$15,451,981","3,387",1/17/2014
1477,Amen,Kino,"$274,299",9,"$16,284",5,1/24/2003
1478,Kangaroo Jack,WB,"$66,934,963","2,848","$16,580,209","2,818",1/17/2003
1479,National Security,Sony,"$36,381,186","2,729","$14,369,694","2,729",1/17/2003
1480,Le Cercle Rouge (Re-issue),Rialto,"$369,970",4,"$14,843",1,1/10/2003
1481,Just Married,Fox,"$56,127,162","2,769","$17,548,993","2,766",1/10/2003
1482,Untitled Sony Event Film (2017),Sony,n/a,n/a,n/a,n/a,9/15/2017
1483,Love Liza,SPC,"$213,137",10,"$15,522",4,12/30/2002
1484,Sonny,GldC,"$30,005",6,"$17,639",6,12/27/2002
1485,Nicholas Nickleby,MGM,"$1,587,173",100,"$42,864",5,12/27/2002
1486,The Pianist,Focus,"$32,572,577",842,"$111,261",6,12/25/2002
1487,Divine Intervention (2007),Bllz.,"$1,485",1,$856,1,11/30/2007
1488,Gangs of New York,Mira.,"$77,812,000","2,340","$9,496,870","1,504",12/20/2002
1489,25th Hour,BV,"$13,084,595",495,"$108,865",5,12/19/2002
