,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
334,Admission,Focus,"$18,007,317","2,161","$6,154,984","2,160",3/22/2013
335,From Up on Poppy Hill,GK,"$1,002,895",49,"$57,585",2,3/15/2013
336,Ginger & Rosa,A24,"$1,012,973",99,"$42,838",3,3/15/2013
337,The Silence of Mark Rothko,Icar.,"$1,422",1,$268,1,4/21/2016
338,Beyond the Hills,IFC,"$124,919",17,"$14,622",3,3/8/2013
339,The We and the I,P/108,"$42,172",7,"$10,774",1,3/8/2013
340,Stoker,FoxS,"$1,714,221",275,"$160,547",7,3/1/2013
341,Leviathan (2014),SPC,"$1,092,800",80,"$15,200",2,12/25/2014
342,Welcome to Pine Hill,Osci.,"$6,115",1,"$3,629",1,3/1/2013
343,A Good Day to Die Hard,Fox,"$67,349,198","3,555","$24,834,845","3,553",2/14/2013
344,Night Across the Street,CGld,"$16,778",2,"$3,248",1,2/8/2013
345,Shaadi Ke Side Effects,Eros,"$921,277",108,"$582,672",108,2/28/2014
346,John Dies at the End,Magn.,"$141,951",19,"$12,467",1,1/25/2013
347,Citizen Koch,Vari.,"$153,908",24,"$10,200",1,6/6/2014
348,Decoding Annie Parker,EOne,"$48,390",13,"$16,781",13,5/2/2014
349,Mission: Impossible - Ghost Protocol,Par.,"$209,397,903","3,555","$12,785,204",425,12/16/2011
350,LUV,IM,"$156,996",45,"$83,194",45,1/18/2013
351,Quartet,Wein.,"$18,390,117",725,"$47,122",2,1/11/2013
352,Gangster Squad,WB,"$46,000,903","3,103","$17,070,347","3,103",1/11/2013
353,Promised Land (2012),Focus,"$7,597,898","1,676","$173,915",25,12/28/2012
354,Django Unchained,Wein.,"$162,805,434","3,012","$30,122,888","3,010",12/25/2012
355,Pigeon Impossible,Fox,n/a,n/a,n/a,n/a,1/18/2019
356,Cirque Du Soleil: Worlds Away,Par.,"$12,512,862",840,"$2,162,993",840,12/21/2012
357,This Is 40,Uni.,"$67,544,505","2,931","$11,579,175","2,912",12/21/2012
358,Jack Reacher: Never Go Back,Par.,n/a,n/a,n/a,n/a,10/21/2016
359,The Hobbit: An Unexpected Journey,WB (NL),"$303,003,568","4,100","$84,617,303","4,045",12/14/2012
360,Tchoupitoulas,Osci.,"$19,375",6,"$2,379",1,12/7/2012
361,Lay the Favorite,RTWC,"$20,998",61,"$20,998",61,12/7/2012
362,Killing Them Softly,Wein.,"$15,026,056","2,424","$6,812,900","2,424",11/30/2012
363,Beware of Mr. Baker,SF,"$116,476",15,"$12,195",1,11/28/2012
364,The Gatekeepers,SPC,"$2,415,727",131,"$61,552",3,2/1/2013
365,Rise of the Guardians,P/DW,"$103,412,758","3,672","$23,773,465","3,653",11/21/2012
366,Life of Pi,Fox,"$124,987,023","2,946","$22,451,514","2,927",11/21/2012
367,Universal R-Rated Comedy,Uni.,n/a,n/a,n/a,n/a,4/20/2018
368,Anna Karenina,Focus,"$12,816,367",422,"$320,690",16,11/16/2012
369,In Another Country,KL,"$25,079",6,"$3,207",1,11/9/2012
370,A Royal Affair,Magn.,"$1,546,761",56,"$38,212",7,11/9/2012
371,Lincoln,BV,"$182,207,973","2,293","$944,308",11,11/9/2012
372,This Must Be the Place,Wein.,"$143,979",15,"$7,754",2,11/2/2012
373,Baywatch,Par.,n/a,n/a,n/a,n/a,5/19/2017
374,Untitled Wreck-It Ralph Sequel,BV,n/a,n/a,n/a,n/a,3/9/2018
375,The Other Son,Cohen,"$1,285,918",53,"$125,691",41,10/26/2012
376,The Loneliest Planet,IFC,"$129,579",13,"$15,689",2,10/26/2012
377,Cloud Atlas,WB,"$27,108,272","2,023","$9,612,247","2,008",10/26/2012
378,Wuthering Heights (2012),Osci.,"$100,915",12,"$8,956",1,10/5/2012
379,Frankenweenie,BV,"$35,291,068","3,005","$11,412,213","3,005",10/5/2012
380,The Paperboy,MNE,"$693,286",76,"$102,706",11,10/5/2012
381,Won't Back Down,Fox,"$5,310,554","2,517","$2,603,370","2,515",9/28/2012
382,Head Games,Vari.,"$14,056",5,"$1,152",2,9/21/2012
383,Trouble with the Curve,WB,"$35,763,137","3,212","$12,162,040","3,212",9/21/2012
384,Radio Unnameable,KL,"$24,090",2,"$5,833",1,9/19/2012
385,Master of Time and Space,P/DW,n/a,n/a,n/a,n/a,TBD
386,Hello I Must Be Going,Osci.,"$106,709",15,"$23,904",2,9/7/2012
387,Keep On Keepin' On,RTWC,"$163,745",9,"$12,930",2,9/19/2014
388,For Ellen,Trib.,"$12,396",3,"$4,616",1,9/5/2012
389,Side By Side,Trib.,"$58,825",9,"$6,956",1,8/17/2012
390,Little Birds,MNE,"$17,739",2,"$4,574",1,8/29/2012
391,Oogieloves In The BIG Balloon Adventure,KVP,"$1,065,907","2,160","$443,901","2,160",8/29/2012
392,The Ambassador,Drft.,"$28,102",8,"$13,046",4,8/29/2012
393,Lawless,Wein.,"$37,400,127","3,138","$10,001,982","2,888",8/29/2012
394,Samsara,Osci.,"$2,672,413",70,"$76,222",2,8/24/2012
395,Beloved Sisters,MBox,"$54,030",9,"$19,704",9,1/9/2015
396,Chicken with Plums,SPC,"$253,874",24,"$11,301",2,8/17/2012
397,The Odd Life of Timothy Green,BV,"$51,854,875","2,717","$10,822,903","2,598",8/15/2012
398,Max et les Ferrailleurs (Max and the Junkmen) (2012 re-release),Rialto,"$35,387",2,"$11,264",1,8/10/2012
399,2 Days in New York,Magn.,"$633,210",42,"$23,942",2,8/10/2012
400,The Campaign,WB,"$86,907,746","3,302","$26,588,460","3,205",8/10/2012
401,Total Recall (2012),Sony,"$58,877,969","3,601","$25,577,758","3,601",8/3/2012
402,Hara-Kiri: Death of a Samurai,Trib.,"$75,688",5,"$10,920",2,7/20/2012
403,The Queen of Versailles,Magn.,"$2,401,999",89,"$51,326",3,7/20/2012
404,Union Square,Da.,"$44,830",4,"$14,406",4,7/13/2012
405,Alps,KL,"$16,057",3,"$2,628",2,7/13/2012
406,Ice Age: Continental Drift,Fox,"$161,321,843","3,886","$46,629,259","3,881",7/13/2012
407,Savages (2012),Uni.,"$47,382,068","2,635","$16,016,910","2,628",7/6/2012
408,Katy Perry: Part of Me,Par.,"$25,326,071","2,732","$7,138,266","2,730",7/5/2012
409,Take This Waltz,Magn.,"$1,239,692",64,"$137,019",30,6/29/2012
410,Ted 2,Uni.,"$81,476,385","3,448","$33,507,870","3,442",6/26/2015
411,Beasts of the Southern Wild,FoxS,"$12,795,746",318,"$169,702",4,6/27/2012
412,Seeking a Friend for the End of the World,Focus,"$7,078,738","1,625","$3,822,803","1,625",6/22/2012
413,The Invisible War,Cdgm.,"$71,968",19,"$16,500",4,6/22/2012
414,To Rome with Love,SPC,"$16,685,867",806,"$361,359",5,6/22/2012
415,Your Sister's Sister,IFC,"$1,636,190",101,"$109,221",13,6/15/2012
416,Marina Abramovic: The Artist is Present,MBox,"$86,637",5,"$11,041",2,6/13/2012
417,Lola Versus,FoxS,"$252,603",52,"$31,815",4,6/8/2012
418,Dark Horse (2016),SPC,"$812,115",74,"$13,838",3,5/6/2016
419,Prometheus,Fox,"$126,477,084","3,442","$51,050,101","3,396",6/8/2012
420,A Cat in Paris,GK,"$309,973",18,"$34,554",6,6/1/2012
421,Snow White and the Huntsman,Uni.,"$155,332,381","3,777","$56,217,700","3,773",6/1/2012
422,5 Broken Cameras,KL,"$109,983",9,"$6,674",1,5/30/2012
423,The Intouchables (U.S.-only),Wein.,"$10,198,820",194,"$103,507",4,5/25/2012
424,Polisse,IFC,"$211,440",21,"$16,568",3,5/18/2012
425,The Color Wheel,APD/C,"$19,001",3,"$3,884",2,5/18/2012
426,What to Expect When You're Expecting,LGF,"$41,152,203","3,021","$10,547,068","3,021",5/18/2012
427,Dictator,Eros,"$104,734",19,"$30,593",19,1/13/2016
428,Tonight You're Mine,RAtt.,"$6,255",3,"$2,144",2,5/11/2012
429,Girl in Progress,LGF,"$2,609,412",322,"$1,384,078",322,5/11/2012
430,Last Call at the Oasis,ATO,"$42,423",6,"$8,899",3,5/4/2012
431,Marvel's The Avengers,BV,"$623,357,910","4,349","$207,438,708","4,349",5/4/2012
432,The Raven,Rela.,"$16,008,272","2,209","$7,289,642","2,203",4/27/2012
433,The Five-Year Engagement,Uni.,"$28,835,528","2,941","$10,610,060","2,936",4/27/2012
434,Payback (2012),Zeit.,"$17,979",3,"$2,186",1,4/25/2012
435,Darling Companion,SPC,"$793,815",64,"$39,962",4,4/20/2012
436,The Lucky One,WB,"$60,457,138","3,175","$22,518,358","3,155",4/20/2012
437,The Cabin in the Woods,LGF,"$42,073,277","2,811","$14,743,614","2,811",4/13/2012
438,Post Mortem,KL,"$9,750",1,"$2,406",1,4/11/2012
439,The Lady in the Car with Glasses and a Gun,Magn.,"$2,167",2,$297,2,12/18/2015
440,Keyhole,Mont.,"$22,826",7,"$3,294",1,4/6/2012
441,American Reunion,Uni.,"$57,011,521","3,203","$21,514,080","3,192",4/6/2012
442,Damsels in Distress,SPC,"$1,008,455",205,"$58,589",4,4/6/2012
443,Bully (2012),Wein.,"$3,495,043",6,"$116,472",5,multiple
444,The Island President,Gold.,"$76,398",5,"$13,998",2,3/28/2012
445,4:44: Last Day on Earth,IFC,"$17,801",3,"$8,355",3,3/23/2012
446,The Deep Blue Sea,MBox,"$1,126,525",61,"$123,841",31,3/23/2012
447,Free Men,FM,"$53,810",4,n/a,n/a,3/16/2012
448,"Jeff, Who Lives at Home",ParV,"$4,269,426",513,"$855,709",254,3/16/2012
449,21 Jump Street,Sony,"$138,447,667","3,148","$36,302,612","3,121",3/16/2012
450,Attenberg,Strand,"$24,036",2,"$3,998",1,3/9/2012
451,John Carter,BV,"$73,078,100","3,749","$30,180,188","3,749",3/9/2012
452,Footnote,SPC,"$2,007,758",101,"$47,528",2,3/9/2012
453,Being Flynn,Focus,"$540,152",88,"$43,990",4,3/2/2012
454,The Vow,SGem,"$125,014,030","3,038","$41,202,458","2,958",2/10/2012
455,The Turin Horse,CGld,"$56,391",3,"$9,145",1,2/10/2012
456,Chico & Rita,GK,"$350,524",23,"$20,654",1,2/10/2012
457,The Innkeepers,Magn.,"$78,396",25,"$29,557",25,2/3/2012
458,One For the Money,LGF,"$26,414,527","2,737","$11,515,790","2,737",1/27/2012
459,Grey Gardens (2015 re-release),Jan.,"$36,923",1,"$13,845",1,3/6/2015
460,Haywire,Rela.,"$18,942,396","2,441","$8,425,370","2,439",1/20/2012
461,Crazy Horse,Zipp.,"$157,782",14,"$7,963",1,1/18/2012
462,A Separation,SPC,"$7,099,055",282,"$59,481",3,12/30/2011
463,The Iron Lady,Wein.,"$30,017,992","1,244","$220,409",4,12/30/2011
464,One Day Pina Asked...,Icar.,"$18,016",2,"$1,756",1,4/4/2014
465,War Horse,BV,"$79,884,879","2,856","$7,515,402","2,376",12/25/2011
466,Albert Nobbs,RAtt.,"$3,014,696",245,"$696,088",245,1/27/2012
467,The Girl with the Dragon Tattoo (2011),Sony,"$102,515,793","2,950","$12,768,604","2,914",12/21/2011
468,Sherlock Holmes: A Game of Shadows,WB,"$186,848,418","3,703","$39,637,079","3,703",12/16/2011
469,Carnage (2011),SPC,"$2,547,047",494,"$79,795",5,12/16/2011
470,In Darkness,SPC,"$1,041,455",52,"$27,413",3,2/10/2012
471,We Need to Talk About Kevin,Osci.,"$1,738,692",80,"$24,587",1,12/9/2011
472,Young Adult,Par.,"$16,311,571",987,"$310,263",8,12/9/2011
473,Sleeping Beauty (2011) (II),IFC,"$36,578",4,"$9,207",2,12/2/2011
474,Walk of Shame,Focus,"$59,209",51,"$39,751",51,5/2/2014
475,The Artist and the Model,Cohen,"$127,958",11,"$16,900",2,8/2/2013
476,A Dangerous Method,SPC,"$5,704,709",365,"$167,953",4,11/23/2011
477,Eames: The Architect and the Painter,FRun,"$153,088",12,n/a,n/a,11/11/2011
478,Rob Zombie's Tyrannosaurus Rex,W/Dim.,n/a,n/a,n/a,n/a,TBD
479,The Descendants,FoxS,"$82,584,160","2,038","$1,190,096",29,11/16/2011
480,Into the Abyss,IFC,"$223,880",30,"$47,559",12,11/11/2011
481,Jack and Jill,Sony,"$74,158,157","3,438","$25,003,575","3,438",11/11/2011
482,Melancholia,Magn.,"$3,030,848",145,"$257,174",19,11/11/2011
483,Tower Heist,Uni.,"$78,046,570","3,870","$24,025,190","3,367",11/4/2011
484,The Rum Diary,FD,"$13,109,815","2,292","$5,135,369","2,273",10/28/2011
485,The Anonymous People,AM,"$284,147",13,n/a,n/a,8/16/2013
486,Martha Marcy May Marlene,FoxS,"$2,990,625",183,"$137,651",4,10/21/2011
487,Le Havre,Jan.,"$611,709",25,"$26,363",6,10/21/2011
488,Margin Call,RAtt.,"$5,354,039",199,"$561,906",56,10/21/2011
489,Paul Goodman Changed My Life,Zeit.,"$35,671",2,"$5,754",1,10/19/2011
490,The Big Year,Fox,"$7,204,138","2,150","$3,251,884","2,150",10/14/2011
491,Footloose (2011),Par.,"$51,802,742","3,555","$15,556,113","3,549",10/14/2011
492,Dirty Girl,Wein.,"$55,125",10,"$17,859",9,10/7/2011
493,The Ides of March,Sony,"$40,962,534","2,199","$10,470,143","2,199",10/7/2011
